variant_id,commodity,satuan_display,date,price,nama_hari
52,Beras Medium,kg,2/1/2024,14033,Kamis
51,Beras Premium,kg,2/1/2024,15000,Kamis
14,Gula Pasir Curah,kg,2/1/2024,15000,Kamis
17,Minyak Goreng Sawit Kemasan Premium,lt,2/1/2024,22000,Kamis
16,Minyak Goreng Sawit Curah,lt,2/1/2024,14000,Kamis
18,Minyakita,lt,2/1/2024,14500,Kamis
19,Daging Sapi Paha Belakang,kg,2/1/2024,120000,Kamis
27,Daging Ayam Ras,kg,2/1/2024,32667,Kamis
25,Telur Ayam Ras,kg,2/1/2024,25250,Kamis
26,Tepung Terigu,kg,2/1/2024,12250,Kamis
48,Kedelai Impor,kg,2/1/2024,15000,Kamis
2,Cabai Merah Keriting,kg,2/1/2024,51000,Kamis
10,Cabai Rawit Merah,kg,2/1/2024,33333,Kamis
9,Cabai Merah Besar,kg,2/1/2024,66667,Kamis
13,Bawang Merah,kg,2/1/2024,21000,Kamis
38,Bawang Putih Honan,kg,2/1/2024,31667,Kamis
52,Beras Medium,kg,2/2/2024,14033,Jumat
51,Beras Premium,kg,2/2/2024,15000,Jumat
14,Gula Pasir Curah,kg,2/2/2024,15000,Jumat
17,Minyak Goreng Sawit Kemasan Premium,lt,2/2/2024,22000,Jumat
16,Minyak Goreng Sawit Curah,lt,2/2/2024,14000,Jumat
18,Minyakita,lt,2/2/2024,14500,Jumat
19,Daging Sapi Paha Belakang,kg,2/2/2024,120000,Jumat
27,Daging Ayam Ras,kg,2/2/2024,32667,Jumat
25,Telur Ayam Ras,kg,2/2/2024,25250,Jumat
26,Tepung Terigu,kg,2/2/2024,12250,Jumat
48,Kedelai Impor,kg,2/2/2024,15000,Jumat
2,Cabai Merah Keriting,kg,2/2/2024,51000,Jumat
10,Cabai Rawit Merah,kg,2/2/2024,33333,Jumat
9,Cabai Merah Besar,kg,2/2/2024,66667,Jumat
13,Bawang Merah,kg,2/2/2024,21000,Jumat
38,Bawang Putih Honan,kg,2/2/2024,31667,Jumat
52,Beras Medium,kg,2/5/2024,14033,Senin
51,Beras Premium,kg,2/5/2024,15000,Senin
14,Gula Pasir Curah,kg,2/5/2024,15500,Senin
17,Minyak Goreng Sawit Kemasan Premium,lt,2/5/2024,23000,Senin
16,Minyak Goreng Sawit Curah,lt,2/5/2024,14833,Senin
18,Minyakita,lt,2/5/2024,14500,Senin
19,Daging Sapi Paha Belakang,kg,2/5/2024,120000,Senin
27,Daging Ayam Ras,kg,2/5/2024,33667,Senin
25,Telur Ayam Ras,kg,2/5/2024,24750,Senin
26,Tepung Terigu,kg,2/5/2024,12750,Senin
48,Kedelai Impor,kg,2/5/2024,15000,Senin
2,Cabai Merah Keriting,kg,2/5/2024,47000,Senin
10,Cabai Rawit Merah,kg,2/5/2024,31000,Senin
9,Cabai Merah Besar,kg,2/5/2024,68000,Senin
13,Bawang Merah,kg,2/5/2024,22000,Senin
38,Bawang Putih Honan,kg,2/5/2024,32333,Senin
52,Beras Medium,kg,2/6/2024,14033,Selasa
51,Beras Premium,kg,2/6/2024,15000,Selasa
14,Gula Pasir Curah,kg,2/6/2024,15500,Selasa
17,Minyak Goreng Sawit Kemasan Premium,lt,2/6/2024,23000,Selasa
16,Minyak Goreng Sawit Curah,lt,2/6/2024,14833,Selasa
18,Minyakita,lt,2/6/2024,14500,Selasa
19,Daging Sapi Paha Belakang,kg,2/6/2024,120000,Selasa
27,Daging Ayam Ras,kg,2/6/2024,33667,Selasa
25,Telur Ayam Ras,kg,2/6/2024,24750,Selasa
26,Tepung Terigu,kg,2/6/2024,12750,Selasa
48,Kedelai Impor,kg,2/6/2024,15000,Selasa
2,Cabai Merah Keriting,kg,2/6/2024,47000,Selasa
10,Cabai Rawit Merah,kg,2/6/2024,31000,Selasa
9,Cabai Merah Besar,kg,2/6/2024,68000,Selasa
13,Bawang Merah,kg,2/6/2024,22000,Selasa
38,Bawang Putih Honan,kg,2/6/2024,32333,Selasa
52,Beras Medium,kg,2/7/2024,14033,Rabu
51,Beras Premium,kg,2/7/2024,15000,Rabu
14,Gula Pasir Curah,kg,2/7/2024,15500,Rabu
17,Minyak Goreng Sawit Kemasan Premium,lt,2/7/2024,23000,Rabu
16,Minyak Goreng Sawit Curah,lt,2/7/2024,14833,Rabu
18,Minyakita,lt,2/7/2024,14500,Rabu
19,Daging Sapi Paha Belakang,kg,2/7/2024,120000,Rabu
27,Daging Ayam Ras,kg,2/7/2024,33667,Rabu
25,Telur Ayam Ras,kg,2/7/2024,24750,Rabu
26,Tepung Terigu,kg,2/7/2024,12750,Rabu
48,Kedelai Impor,kg,2/7/2024,15000,Rabu
2,Cabai Merah Keriting,kg,2/7/2024,47000,Rabu
10,Cabai Rawit Merah,kg,2/7/2024,31000,Rabu
9,Cabai Merah Besar,kg,2/7/2024,68000,Rabu
13,Bawang Merah,kg,2/7/2024,22000,Rabu
38,Bawang Putih Honan,kg,2/7/2024,32333,Rabu
52,Beras Medium,kg,2/12/2024,14033,Senin
51,Beras Premium,kg,2/12/2024,15000,Senin
14,Gula Pasir Curah,kg,2/12/2024,15500,Senin
17,Minyak Goreng Sawit Kemasan Premium,lt,2/12/2024,23000,Senin
16,Minyak Goreng Sawit Curah,lt,2/12/2024,14833,Senin
18,Minyakita,lt,2/12/2024,14500,Senin
19,Daging Sapi Paha Belakang,kg,2/12/2024,120000,Senin
27,Daging Ayam Ras,kg,2/12/2024,33667,Senin
25,Telur Ayam Ras,kg,2/12/2024,24750,Senin
26,Tepung Terigu,kg,2/12/2024,12750,Senin
48,Kedelai Impor,kg,2/12/2024,15000,Senin
2,Cabai Merah Keriting,kg,2/12/2024,47000,Senin
10,Cabai Rawit Merah,kg,2/12/2024,31000,Senin
9,Cabai Merah Besar,kg,2/12/2024,68000,Senin
13,Bawang Merah,kg,2/12/2024,22000,Senin
38,Bawang Putih Honan,kg,2/12/2024,32333,Senin
52,Beras Medium,kg,2/13/2024,14183,Selasa
51,Beras Premium,kg,2/13/2024,15167,Selasa
14,Gula Pasir Curah,kg,2/13/2024,16000,Selasa
17,Minyak Goreng Sawit Kemasan Premium,lt,2/13/2024,24000,Selasa
16,Minyak Goreng Sawit Curah,lt,2/13/2024,14833,Selasa
18,Minyakita,lt,2/13/2024,14500,Selasa
19,Daging Sapi Paha Belakang,kg,2/13/2024,120000,Selasa
27,Daging Ayam Ras,kg,2/13/2024,33667,Selasa
25,Telur Ayam Ras,kg,2/13/2024,25250,Selasa
26,Tepung Terigu,kg,2/13/2024,12750,Selasa
48,Kedelai Impor,kg,2/13/2024,15000,Selasa
2,Cabai Merah Keriting,kg,2/13/2024,48333,Selasa
10,Cabai Rawit Merah,kg,2/13/2024,33667,Selasa
9,Cabai Merah Besar,kg,2/13/2024,70667,Selasa
13,Bawang Merah,kg,2/13/2024,27000,Selasa
38,Bawang Putih Honan,kg,2/13/2024,31000,Selasa
52,Beras Medium,kg,2/15/2024,14183,Kamis
51,Beras Premium,kg,2/15/2024,15167,Kamis
14,Gula Pasir Curah,kg,2/15/2024,16000,Kamis
17,Minyak Goreng Sawit Kemasan Premium,lt,2/15/2024,24000,Kamis
16,Minyak Goreng Sawit Curah,lt,2/15/2024,14833,Kamis
18,Minyakita,lt,2/15/2024,14500,Kamis
19,Daging Sapi Paha Belakang,kg,2/15/2024,120000,Kamis
27,Daging Ayam Ras,kg,2/15/2024,33667,Kamis
25,Telur Ayam Ras,kg,2/15/2024,25250,Kamis
26,Tepung Terigu,kg,2/15/2024,12750,Kamis
48,Kedelai Impor,kg,2/15/2024,15000,Kamis
2,Cabai Merah Keriting,kg,2/15/2024,48333,Kamis
10,Cabai Rawit Merah,kg,2/15/2024,33667,Kamis
9,Cabai Merah Besar,kg,2/15/2024,70667,Kamis
13,Bawang Merah,kg,2/15/2024,27000,Kamis
38,Bawang Putih Honan,kg,2/15/2024,31000,Kamis
52,Beras Medium,kg,2/16/2024,14183,Jumat
51,Beras Premium,kg,2/16/2024,15167,Jumat
14,Gula Pasir Curah,kg,2/16/2024,16000,Jumat
17,Minyak Goreng Sawit Kemasan Premium,lt,2/16/2024,24000,Jumat
16,Minyak Goreng Sawit Curah,lt,2/16/2024,14833,Jumat
18,Minyakita,lt,2/16/2024,14500,Jumat
19,Daging Sapi Paha Belakang,kg,2/16/2024,120000,Jumat
27,Daging Ayam Ras,kg,2/16/2024,33667,Jumat
25,Telur Ayam Ras,kg,2/16/2024,25250,Jumat
26,Tepung Terigu,kg,2/16/2024,12750,Jumat
48,Kedelai Impor,kg,2/16/2024,15000,Jumat
2,Cabai Merah Keriting,kg,2/16/2024,48333,Jumat
10,Cabai Rawit Merah,kg,2/16/2024,33667,Jumat
9,Cabai Merah Besar,kg,2/16/2024,70667,Jumat
13,Bawang Merah,kg,2/16/2024,27000,Jumat
38,Bawang Putih Honan,kg,2/16/2024,31000,Jumat
52,Beras Medium,kg,2/19/2024,14383,Senin
51,Beras Premium,kg,2/19/2024,15367,Senin
14,Gula Pasir Curah,kg,2/19/2024,16000,Senin
17,Minyak Goreng Sawit Kemasan Premium,lt,2/19/2024,24000,Senin
16,Minyak Goreng Sawit Curah,lt,2/19/2024,14833,Senin
18,Minyakita,lt,2/19/2024,14500,Senin
19,Daging Sapi Paha Belakang,kg,2/19/2024,120000,Senin
27,Daging Ayam Ras,kg,2/19/2024,34667,Senin
25,Telur Ayam Ras,kg,2/19/2024,25250,Senin
26,Tepung Terigu,kg,2/19/2024,12750,Senin
48,Kedelai Impor,kg,2/19/2024,15000,Senin
2,Cabai Merah Keriting,kg,2/19/2024,53000,Senin
10,Cabai Rawit Merah,kg,2/19/2024,48667,Senin
9,Cabai Merah Besar,kg,2/19/2024,69000,Senin
13,Bawang Merah,kg,2/19/2024,33667,Senin
38,Bawang Putih Honan,kg,2/19/2024,31000,Senin
52,Beras Medium,kg,2/20/2024,14383,Selasa
51,Beras Premium,kg,2/20/2024,15367,Selasa
14,Gula Pasir Curah,kg,2/20/2024,16000,Selasa
17,Minyak Goreng Sawit Kemasan Premium,lt,2/20/2024,24000,Selasa
16,Minyak Goreng Sawit Curah,lt,2/20/2024,14833,Selasa
18,Minyakita,lt,2/20/2024,14500,Selasa
19,Daging Sapi Paha Belakang,kg,2/20/2024,120000,Selasa
27,Daging Ayam Ras,kg,2/20/2024,34667,Selasa
25,Telur Ayam Ras,kg,2/20/2024,25250,Selasa
26,Tepung Terigu,kg,2/20/2024,12750,Selasa
48,Kedelai Impor,kg,2/20/2024,15000,Selasa
2,Cabai Merah Keriting,kg,2/20/2024,53000,Selasa
10,Cabai Rawit Merah,kg,2/20/2024,53667,Selasa
9,Cabai Merah Besar,kg,2/20/2024,69000,Selasa
13,Bawang Merah,kg,2/20/2024,33667,Selasa
38,Bawang Putih Honan,kg,2/20/2024,31000,Selasa
52,Beras Medium,kg,2/21/2024,14383,Rabu
51,Beras Premium,kg,2/21/2024,15367,Rabu
14,Gula Pasir Curah,kg,2/21/2024,16000,Rabu
17,Minyak Goreng Sawit Kemasan Premium,lt,2/21/2024,24000,Rabu
16,Minyak Goreng Sawit Curah,lt,2/21/2024,14833,Rabu
18,Minyakita,lt,2/21/2024,15000,Rabu
19,Daging Sapi Paha Belakang,kg,2/21/2024,120000,Rabu
27,Daging Ayam Ras,kg,2/21/2024,34667,Rabu
25,Telur Ayam Ras,kg,2/21/2024,25250,Rabu
26,Tepung Terigu,kg,2/21/2024,12750,Rabu
48,Kedelai Impor,kg,2/21/2024,15000,Rabu
2,Cabai Merah Keriting,kg,2/21/2024,56000,Rabu
10,Cabai Rawit Merah,kg,2/21/2024,56667,Rabu
9,Cabai Merah Besar,kg,2/21/2024,69000,Rabu
