commodity,model,date,forecast_price
Bawang Merah,GRU,2025-11-01,37586.654211667934
Bawang Merah,GRU,2025-11-02,37600.88947853756
Bawang Merah,GRU,2025-11-03,37612.422228940486
Bawang Merah,GRU,2025-11-04,37622.885860815244
Bawang Merah,GRU,2025-11-05,37632.93681005452
Bawang Merah,GRU,2025-11-06,37642.8115340186
Bawang Merah,GRU,2025-11-07,37652.58489648561
Bawang Merah,GRU,2025-11-08,37662.27062606284
Bawang Merah,GRU,2025-11-09,37671.86256979196
Bawang Merah,GRU,2025-11-10,37681.35336633
Bawang Merah,GRU,2025-11-11,37690.73749787595
Bawang Merah,GRU,2025-11-12,37700.011850751966
Bawang Merah,GRU,2025-11-13,37709.17518604823
Bawang Merah,GRU,2025-11-14,37718.22747714274
Bawang Merah,GRU,2025-11-15,37727.16938806259
Bawang Merah,GRU,2025-11-16,37736.001925584234
Bawang Merah,GRU,2025-11-17,37744.726229666645
Bawang Merah,GRU,2025-11-18,37753.34120909668
Bawang Merah,GRU,2025-11-19,37761.85073696828
Bawang Merah,GRU,2025-11-20,37770.253734280006
Bawang Merah,GRU,2025-11-21,37778.55401411216
Bawang Merah,GRU,2025-11-22,37786.75266980467
Bawang Merah,GRU,2025-11-23,37794.85123679599
Bawang Merah,GRU,2025-11-24,37802.85023150529
Bawang Merah,GRU,2025-11-25,37810.750739108356
Bawang Merah,GRU,2025-11-26,37818.55383203101
Bawang Merah,GRU,2025-11-27,37826.26057286044
Bawang Merah,GRU,2025-11-28,37833.87201553244
Bawang Merah,GRU,2025-11-29,37841.38920576092
Bawang Merah,GRU,2025-11-30,37848.81318116844
Bawang Putih Honan,LSTM,2025-11-01,30000.0
Bawang Putih Honan,LSTM,2025-11-02,30000.0
Bawang Putih Honan,LSTM,2025-11-03,30000.0
Bawang Putih Honan,LSTM,2025-11-04,30000.0
Bawang Putih Honan,LSTM,2025-11-05,30000.0
Bawang Putih Honan,LSTM,2025-11-06,30000.0
Bawang Putih Honan,LSTM,2025-11-07,30000.0
Bawang Putih Honan,LSTM,2025-11-08,30000.0
Bawang Putih Honan,LSTM,2025-11-09,30000.0
Bawang Putih Honan,LSTM,2025-11-10,30000.0
Bawang Putih Honan,LSTM,2025-11-11,30000.0
Bawang Putih Honan,LSTM,2025-11-12,30000.0
Bawang Putih Honan,LSTM,2025-11-13,30000.0
Bawang Putih Honan,LSTM,2025-11-14,30000.0
Bawang Putih Honan,LSTM,2025-11-15,30000.0
Bawang Putih Honan,LSTM,2025-11-16,30000.0
Bawang Putih Honan,LSTM,2025-11-17,30000.0
Bawang Putih Honan,LSTM,2025-11-18,30000.0
Bawang Putih Honan,LSTM,2025-11-19,30000.0
Bawang Putih Honan,LSTM,2025-11-20,30000.0
Bawang Putih Honan,LSTM,2025-11-21,30000.0
Bawang Putih Honan,LSTM,2025-11-22,30000.0
Bawang Putih Honan,LSTM,2025-11-23,30000.0
Bawang Putih Honan,LSTM,2025-11-24,30000.0
Bawang Putih Honan,LSTM,2025-11-25,30000.0
Bawang Putih Honan,LSTM,2025-11-26,30000.0
Bawang Putih Honan,LSTM,2025-11-27,30000.0
Bawang Putih Honan,LSTM,2025-11-28,30000.0
Bawang Putih Honan,LSTM,2025-11-29,30000.0
Bawang Putih Honan,LSTM,2025-11-30,30000.0
Beras Medium,GRU,2025-11-01,14349.003562521362
Beras Medium,GRU,2025-11-02,14348.558841225771
Beras Medium,GRU,2025-11-03,14348.11441478012
Beras Medium,GRU,2025-11-04,14347.672648801185
Beras Medium,GRU,2025-11-05,14347.234407138312
Beras Medium,GRU,2025-11-06,14346.799942134432
Beras Medium,GRU,2025-11-07,14346.369268005383
Beras Medium,GRU,2025-11-08,14345.942313764197
Beras Medium,GRU,2025-11-09,14345.524773433886
Beras Medium,GRU,2025-11-10,14345.1133083358
Beras Medium,GRU,2025-11-11,14344.707878835623
Beras Medium,GRU,2025-11-12,14344.30841749016
Beras Medium,GRU,2025-11-13,14343.914847486141
Beras Medium,GRU,2025-11-14,14343.527089910236
Beras Medium,GRU,2025-11-15,14343.1450664857
