date,Bawang Merah,Bawang Putih Honan,Beras Medium,Beras Premium,Cabai Merah Besar,Cabai Merah Keriting,Cabai Rawit Merah,Daging Ayam Ras,Daging Sapi Paha Belakang,Gula Pasir Curah,Kedelai Impor,Minyak Goreng Sawit Curah,Minyak Goreng Sawit Kemasan Premium,Minyakita,Telur Ayam Ras,Tepung Terigu
2024-02-01,21000.0,31667.0,14033.0,15000.0,66667.0,51000.0,33333.0,32667.0,120000.0,15999.0,14500.0,14000.0,22000.0,14500.0,25250.0,12250.0
2024-02-02,21000.0,31667.0,14033.0,15000.0,66667.0,51000.0,33333.0,32667.0,120000.0,15999.0,14500.0,14000.0,22000.0,14500.0,25250.0,12250.0
2024-02-05,22000.0,32333.0,14033.0,15000.0,68000.0,47000.0,31000.0,33667.0,120000.0,15999.0,14500.0,14833.0,23000.0,14500.0,24750.0,12750.0
2024-02-06,22000.0,32333.0,14033.0,15000.0,68000.0,47000.0,31000.0,33667.0,120000.0,15999.0,14500.0,14833.0,23000.0,14500.0,24750.0,12750.0
2024-02-07,22000.0,32333.0,14033.0,15000.0,68000.0,47000.0,31000.0,33667.0,120000.0,15999.0,14500.0,14833.0,23000.0,14500.0,24750.0,12750.0
2024-02-08,22000.0,32333.0,14033.0,15000.0,68000.0,47000.0,31000.0,33667.0,120000.0,15999.0,14500.0,14833.0,23000.0,14500.0,24750.0,12750.0
2024-02-09,22000.0,32333.0,14033.0,15000.0,68000.0,47000.0,31000.0,33667.0,120000.0,15999.0,14500.0,14833.0,23000.0,14500.0,24750.0,12750.0
2024-02-12,22000.0,32333.0,14033.0,15000.0,68000.0,47000.0,31000.0,33667.0,120000.0,15999.0,14500.0,14833.0,23000.0,14500.0,24750.0,12750.0
2024-02-13,27000.0,31000.0,14183.0,15167.0,70667.0,48333.0,33667.0,33667.0,120000.0,16000.0,14500.0,14833.0,24000.0,14500.0,25250.0,12750.0
2024-02-14,27000.0,31000.0,14183.0,15167.0,70667.0,48333.0,33667.0,33667.0,120000.0,16000.0,14500.0,14833.0,24000.0,14500.0,25250.0,12750.0
2024-02-15,27000.0,31000.0,14183.0,15167.0,70667.0,48333.0,33667.0,33667.0,120000.0,16000.0,14500.0,14833.0,24000.0,14500.0,25250.0,12750.0
2024-02-16,27000.0,31000.0,14183.0,15167.0,70667.0,48333.0,33667.0,33667.0,120000.0,16000.0,14500.0,14833.0,24000.0,14500.0,25250.0,12750.0
2024-02-19,33667.0,31000.0,14383.0,15367.0,69000.0,53000.0,48667.0,34667.0,120000.0,16000.0,14500.0,14833.0,24000.0,14500.0,25250.0,12750.0
2024-02-20,33667.0,31000.0,14383.0,15367.0,69000.0,53000.0,53667.0,34667.0,120000.0,16000.0,14500.0,14833.0,24000.0,14500.0,25250.0,12750.0
