commodity,model,config,MAPE_test,MAE_test,RMSE_test
Bawang Merah,ARIMA,"p=2, d=1, D=1",35.391393233561466,12840.932987145521,14179.588725031592
Bawang Merah,LSTM,"{'window': 30, 'units': 32}",2.6387414991086073,1050.6265966614362,1382.6393402150868
Bawang Merah,GRU,"{'window': 21, 'units': 16}",1.9234282057510987,756.0329510105844,1155.9716417159418
Bawang Putih Honan,ARIMA,"p=1, d=1, D=1",0.1995068208578246,59.85204625734738,68.9434597876181
Bawang Putih Honan,LSTM,"{'window': 30, 'units': 16}",0.16070962285564752,48.21288685669424,48.21288685669424
Bawang Putih Honan,GRU,"{'window': 30, 'units': 16}",0.16809338861269987,50.42801658380995,50.42801658380995
Beras Medium,ARIMA,"p=0, d=1, D=1",2.7298334437427605,390.5841460605049,425.89935914947824
Beras Medium,LSTM,"{'window': 10, 'units': 32}",0.20111777414353427,28.610359048334537,52.820894592054124
Beras Medium,GRU,"{'window': 7, 'units': 32}",0.19769767195953158,28.14989105900178,48.909818701916066
Beras Premium,ARIMA,"p=0, d=1, D=1",3.0319574948883083,469.20979880201924,499.49634086340427
Beras Premium,LSTM,"{'window': 10, 'units': 32}",0.3468600439844985,53.52517610713459,68.83567157644536
Beras Premium,GRU,"{'window': 14, 'units': 32}",0.30447290582935027,46.953383896187624,63.20879381501101
Cabai Merah Besar,ARIMA,"p=2, d=1, D=1",15.556323081772044,6271.468999557919,7996.923152108852
Cabai Merah Besar,LSTM,"{'window': 30, 'units': 16}",6.168744025344178,2303.0931514303124,3170.688250670232
Cabai Merah Besar,GRU,"{'window': 30, 'units': 16}",5.718186319793541,2133.4020972291523,3012.7476518941207
Cabai Merah Keriting,ARIMA,"p=0, d=1, D=0",27.001233280684584,12132.091684354142,14920.93761719383
Cabai Merah Keriting,LSTM,"{'window': 30, 'units': 16}",6.246233480553684,2477.6863982070404,3459.1634552954843
Cabai Merah Keriting,GRU,"{'window': 21, 'units': 16}",5.690325139111748,2267.486152651532,3344.6011829245676
Cabai Rawit Merah,ARIMA,"p=1, d=1, D=1",25.49208237599795,5754.540702472552,7112.240363034712
Cabai Rawit Merah,LSTM,"{'window': 21, 'units': 32}",7.466220954302971,1919.536251435442,2496.338674373764
Cabai Rawit Merah,GRU,"{'window': 30, 'units': 32}",5.905060303336072,1531.2025252097937,2191.7543022745754
Daging Ayam Ras,ARIMA,"p=2, d=1, D=1",8.666261215776645,3243.2929574540367,3761.615632710447
Daging Ayam Ras,LSTM,"{'window': 21, 'units': 16}",1.4315039347673888,520.8788684834507,640.9938004116557
Daging Ayam Ras,GRU,"{'window': 21, 'units': 32}",1.0715705406810887,384.8464014305772,524.3664364395336
Daging Sapi Paha Belakang,ARIMA,"p=0, d=1, D=0",0.14576643569392916,177.8350515465936,204.60086893826667
Daging Sapi Paha Belakang,LSTM,"{'window': 7, 'units': 32}",1.639344262295082,2000.0,2000.0
Daging Sapi Paha Belakang,GRU,"{'window': 10, 'units': 16}",1.639344262295082,2000.0,2000.0
Gula Pasir Curah,ARIMA,"p=0, d=1, D=1",0.9803921568627453,161.76470588235293,284.39822949726056
Gula Pasir Curah,LSTM,"{'window': 14, 'units': 32}",0.2704469360701017,43.946402027049714,114.78447336671475
Gula Pasir Curah,GRU,"{'window': 14, 'units': 32}",0.2087337865472617,33.91525607017122,102.46015039960798
Kedelai Impor,ARIMA,"p=2, d=1, D=0",5.051894556919753,656.7279576584142,677.942716343813
Kedelai Impor,LSTM,"{'window': 14, 'units': 32}",0.22317036948839397,29.001148817959507,81.30999636068778
Kedelai Impor,GRU,"{'window': 21, 'units': 16}",0.15100965359038995,19.626987022161728,71.4326798317378
Minyak Goreng Sawit Curah,ARIMA,"p=1, d=1, D=1",0.4425962080339486,75.24135536577127,86.56315047199982
Minyak Goreng Sawit Curah,LSTM,"{'window': 30, 'units': 32}",0.3742414997346019,63.62105495488231,63.62109100623613
Minyak Goreng Sawit Curah,GRU,"{'window': 30, 'units': 32}",0.331164654069514,56.2979911918174,56.29804089738891
Minyak Goreng Sawit Kemasan Premium,ARIMA,"p=1, d=1, D=1",4.045834345695877,845.1989729745261,920.9545581558872
Minyak Goreng Sawit Kemasan Premium,LSTM,"{'window': 30, 'units': 32}",0.3534259356375718,73.9267314735405,172.5910056264382
Minyak Goreng Sawit Kemasan Premium,GRU,"{'window': 21, 'units': 32}",0.2753652764453827,57.644042025747694,164.44674425643666
Minyakita,ARIMA,"p=1, d=1, D=1",5.768803944559677,967.6323529411765,1113.6018865666067
Minyakita,LSTM,"{'window': 7, 'units': 32}",1.522597725094828,250.78651050096713,362.826676316557
Minyakita,GRU,"{'window': 7, 'units': 16}",1.238023143267243,203.39933456960742,334.7316202742362
Telur Ayam Ras,ARIMA,"p=0, d=1, D=1",4.015015237746704,1073.4190216556467,1297.7264150321125
Telur Ayam Ras,LSTM,"{'window': 14, 'units': 16}",1.2518064703725345,339.01982791320586,457.6123214706385
Telur Ayam Ras,GRU,"{'window': 14, 'units': 16}",1.0650622611899563,288.5845466494661,426.49272270991406
Tepung Terigu,ARIMA,"p=2, d=1, D=1",0.0,0.0,0.0
Tepung Terigu,LSTM,"{'window': 14, 'units': 32}",0.03154123546717948,4.100360610733333,4.100360610733333
Tepung Terigu,GRU,"{'window': 7, 'units': 32}",0.003731872465477163,0.4851434205120313,0.48514342051203124
